stock_id,symbol,trade_date,open_price,high_price,low_price,close_price,volume,adjusted_close
,AAPL,2024-08-28,226.86416416696267,228.79517959293358,224.63453544627717,225.4407958984375,38052200,
,AAPL,2024-08-29,229.03408635152135,231.8410150307569,227.8197366882459,228.7255096435547,51906300,
,AAPL,2024-08-30,229.123652992766,229.33267166766268,226.42620031745173,227.9391632080078,52990800,
,AAPL,2024-09-03,227.4912604304481,227.9391727978887,220.1454429272487,221.738037109375,50190600,
,AAPL,2024-09-04,220.63318011937469,220.75261936807303,216.47253576183732,219.82693481445312,43840200,
,AAPL,2024-09-05,220.60332780966414,224.43548398740054,220.4938367652657,221.349853515625,36615400,
,AAPL,2024-09-06,222.91254804497814,224.1965806221913,218.75191919539128,219.79705810546875,48423000,
,AAPL,2024-09-09,219.79707827698536,220.24499065438135,215.70611687897429,219.88665771484375,67180000,
,AAPL,2024-09-10,217.905857501112,220.45399594379384,215.72600018375593,219.09034729003906,51591000,
,AAPL,2024-09-11,220.43410202901993,222.05654079085224,216.88063262193214,221.6285400390625,44587100,
,AAPL,2024-09-12,221.46928361366915,222.51442259643306,218.8017058249269,221.738037109375,37455600,
,AAPL,2024-09-13,222.54426752163744,223.00212806640087,220.8820056188433,221.46926879882812,36766600,
,AAPL,2024-09-16,215.53686848493908,216.213726272445,212.92901053484562,215.31790161132812,59357400,
,AAPL,2024-09-17,214.75054527350213,215.8952118613641,213.50633585708556,215.7857208251953,45519300,
,AAPL,2024-09-18,216.54219508236315,221.67829484771394,216.53223168732617,219.6676483154297,59894900,
,AAPL,2024-09-19,223.94775287051627,228.75538000957175,223.58941994126667,227.8097686767578,66781300,
,AAPL,2024-09-20,228.90468820559317,232.0102302576514,226.56556827016195,227.14288330078125,318679900,
,AAPL,2024-09-23,226.2868480598011,228.38707413181643,224.7639369712135,225.42088317871094,54146000,
,AAPL,2024-09-24,227.59078065470555,228.28755007923567,224.6843092769655,226.31671142578125,43556100,
,AAPL,2024-09-25,223.88800321688734,226.23707111110926,222.9822303399746,225.3213348388672,42308700,
,AAPL,2024-09-26,226.24705185494724,227.4414899021518,224.36580775387156,226.46603393554688,36636700,
,AAPL,2024-09-27,227.40166606122023,228.45675318264773,226.24703611440785,226.73475646972656,34026000,
,AAPL,2024-09-30,228.97432934379907,231.92062377929688,228.58613663255096,231.92062377929688,54541900,
,AAPL,2024-10-01,228.45675818805825,228.5861456381701,222.70353511874544,225.16209411621094,63285000,
,AAPL,2024-10-02,224.84356992020335,226.31670960653594,221.98686997976517,225.7294464111328,32880600,
,AAPL,2024-10-03,224.09704443839323,225.75930638603796,222.28548343692833,224.6245880126953,34044200,
,AAPL,2024-10-04,226.8442543024003,226.9437971307691,223.09172964492672,225.74935913085938,37245100,
,AAPL,2024-10-07,223.4600360693569,224.64452599576788,220.30472246057153,220.66305541992188,39505400,
,AAPL,2024-10-08,223.26094483680066,224.93315503301397,222.2158058701156,224.72413635253906,31855700,
,AAPL,2024-10-09,224.18665241253458,228.6857184603766,223.78851142625692,228.4766845703125,33591100,
,AAPL,2024-10-10,226.72481576308653,228.43684913724616,226.11764095959848,227.97897338867188,28183500,
,AAPL,2024-10-11,228.23778864704394,228.34727968813561,226.28686151162026,226.4958953857422,31759200,
,AAPL,2024-10-14,227.64055393917852,230.65651637799863,227.54102629778745,230.228515625,39882100,
,AAPL,2024-10-15,232.527799450427,236.38983016358188,231.29353829774286,232.76669311523438,64751400,
,AAPL,2024-10-16,230.52713995218934,231.04472016362837,228.77528327315235,230.706298828125,34082200,
,AAPL,2024-10-17,232.348638945834,232.76670668063704,229.4521309302649,231.07456970214844,32993800,
,AAPL,2024-10-18,235.0859033854084,235.0859033854084,232.92595759952005,233.911376953125,46431500,
,AAPL,2024-10-21,233.36392650842956,235.75281781754072,233.36392650842956,235.384521484375,36254500,
,AAPL,2024-10-22,232.80651969699693,235.12572795126604,231.52250221800776,234.76739501953125,38846600,
,AAPL,2024-10-23,232.99563706556216,234.05072423456664,226.7049068825192,229.69100952148438,52287000,
,AAPL,2024-10-24,228.91461372105516,229.75073396519565,227.35189464165862,229.50189208984375,31109500,
,AAPL,2024-10-25,228.6757355296476,232.1396101862481,228.50652487676712,230.33799743652344,38802300,
,AAPL,2024-10-28,232.23917058038825,233.6426273223557,231.4727332926884,232.31878662109375,36087100,
,AAPL,2024-10-29,232.02018805231754,233.24448591818899,231.24380255804743,232.58753967285156,35417200,
,AAPL,2024-10-30,231.5324398883544,232.38845656475567,228.48661770128336,229.03407287597656,47070900,
,AAPL,2024-10-31,228.27758291037028,228.76531846185907,224.32597264925337,224.8634796142578,64370100,
,AAPL,2024-11-01,219.9463649274566,224.30607958110733,219.2496106921502,221.87738037109375,65276700,
,AAPL,2024-11-04,219.96627293386246,221.75792231303782,218.69220372782075,220.98153686523438,44944500,
,AAPL,2024-11-05,220.7725208689619,222.91255498009295,220.11557465497725,222.4148712158203,28111300,
,AAPL,2024-11-06,221.57875664968802,225.02273483375984,220.16533664224426,221.68824768066406,54561100,
,AAPL,2024-11-07,223.5894200604507,226.82436463330757,223.52970043689453,226.42620849609375,42137700,
,AAPL,2024-11-08,226.366414165256,227.8511489598711,225.60910803907555,226.15716552734375,38328800,
,AAPL,2024-11-11,224.20409384410638,224.90161465065876,220.7164746065314,223.4368133544922,42005600,
,AAPL,2024-11-12,223.75568869738083,224.79200315214243,222.5698957238352,223.4368133544922,40398300,
,AAPL,2024-11-13,223.21759527142092,225.8482560889112,221.97201694486657,224.32366943359375,48566200,
